A1, 99, 98, 97, 96, 95, 94, 93, 92, 91, 90, 89, 88, 87, 86, 85, 84, 83, 82, 81, 80, 79, 78, 77, 76, 75, 74, 73, 72, 71, 70, 69, 68, 67, 66, 65, 64, 63, 62, 61, 60, 59, 58, 57, 56, 55, 54, 53, 52, 51, 50, 49, 48, 47, 46, 45, 44, 43, 42, 41, 40, 39, 38, 37, 36, 35, 34, 33, 32, 31, 30, 29, 28, 27, 26, 25, 24, 23, 22, 21, 20, 19, 18, 17, 16, 15, 14, 13, 12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1
20-29, 4.20, 4.75, 5.30, 5.85, 6.40, 6.70, 7.00, 7.30, 7.60, 7.90, 8.14, 8.38, 8.62, 8.86, 9.10, 9.38, 9.66, 9.94, 10.22, 10.50, 10.70, 10.90, 11.10, 11.30, 11.50, 11.72, 11.94, 12.16, 12.38, 12.60, 12.84, 13.08, 13.32, 13.56, 13.80, 14.00, 14.20, 14.40, 14.60, 14.80, 15.00, 15.20, 15.40, 15.60, 15.80, 15.96, 16.12, 16.28, 16.44, 16.60, 16.78, 16.96, 17.14, 17.32, 17.50, 17.72, 17.94, 18.16, 18.38, 18.60, 18.82, 19.04, 19.26, 19.48, 19.70, 19.90, 20.10, 20.30, 20.50, 20.70, 20.96, 21.22, 21.48, 21.74, 22.00, 22.26, 22.52, 22.78, 23.04, 23.30, 23.62, 23.94, 24.26, 24.58, 24.90, 25.24, 25.58, 25.92, 26.26, 26.60, 27.12, 27.64, 28.16, 28.68, 29.20, 30.25, 31.30, 32.35, 33.40
30-39, 7.30, 8.05, 8.80, 9.55, 10.30, 10.72, 11.14, 11.56, 11.98, 12.40, 12.66, 12.92, 13.18, 13.44, 13.70, 13.94, 14.18, 14.42, 14.66, 14.90, 15.10, 15.30, 15.50, 15.70, 15.90, 16.08, 16.26, 16.44, 16.62, 16.80, 16.98, 17.16, 17.34, 17.52, 17.70, 17.84, 17.98, 18.12, 18.26, 18.40, 18.56, 18.72, 18.88, 19.04, 19.20, 19.36, 19.52, 19.68, 19.84, 20.00, 20.14, 20.28, 20.42, 20.56, 20.70, 20.88, 21.06, 21.24, 21.42, 21.60, 21.76, 21.92, 22.08, 22.24, 22.40, 22.56, 22.72, 22.88, 23.04, 23.20, 23.38, 23.56, 23.74, 23.92, 24.10, 24.30, 24.50, 24.70, 24.90, 25.10, 25.36, 25.62, 25.88, 26.14, 26.40, 26.68, 26.96, 27.24, 27.52, 27.80, 28.28, 28.76, 29.24, 29.72, 30.20, 31.25, 32.30, 33.35, 34.40
40-49, 9.50, 10.35, 11.20, 12.05, 12.90, 13.32, 13.74, 14.16, 14.58, 15.00, 15.28, 15.56, 15.84, 16.12, 16.40, 16.62, 16.84, 17.06, 17.28, 17.50, 17.70, 17.90, 18.10, 18.30, 18.50, 18.66, 18.82, 18.98, 19.14, 19.30, 19.46, 19.62, 19.78, 19.94, 20.10, 20.24, 20.38, 20.52, 20.66, 20.80, 20.92, 21.04, 21.16, 21.28, 21.40, 21.54, 21.68, 21.82, 21.96, 22.10, 22.24, 22.38, 22.52, 22.66, 22.80, 22.94, 23.08, 23.22, 23.36, 23.50, 23.64, 23.78, 23.92, 24.06, 24.20, 24.34, 24.48, 24.62, 24.76, 24.90, 25.06, 25.22, 25.38, 25.54, 25.70, 25.88, 26.06, 26.24, 26.42, 26.60, 26.84, 27.08, 27.32, 27.56, 27.80, 28.08, 28.36, 28.64, 28.92, 29.20, 29.62, 30.04, 30.46, 30.88, 31.30, 32.28, 33.25, 34.23, 35.20
50-59, 11.00, 11.95, 12.90, 13.85, 14.80, 15.24, 15.68, 16.12, 16.56, 17.00, 17.26, 17.52, 17.78, 18.04, 18.30, 18.52, 18.74, 18.96, 19.18, 19.40, 19.56, 19.72, 19.88, 20.04, 20.20, 20.36, 20.52, 20.68, 20.84, 21.00, 21.14, 21.28, 21.42, 21.56, 21.70, 21.82, 21.94, 22.06, 22.18, 22.30, 22.44, 22.58, 22.72, 22.86, 23.00, 23.12, 23.24, 23.36, 23.48, 23.60, 23.72, 23.84, 23.96, 24.08, 24.20, 24.34, 24.48, 24.62, 24.76, 24.90, 25.04, 25.18, 25.32, 25.46, 25.60, 25.74, 25.88, 26.02, 26.16, 26.30, 26.46, 26.62, 26.78, 26.94, 27.10, 27.30, 27.50, 27.70, 27.90, 28.10, 28.32, 28.54, 28.76, 28.98, 29.20, 29.48, 29.76, 30.04, 30.32, 30.60, 31.02, 31.44, 31.86, 32.28, 32.70, 33.63, 34.55, 35.48, 36.40
60-69, 11.90, 12.98, 14.05, 15.13, 16.20, 16.58, 16.96, 17.34, 17.72, 18.10, 18.32, 18.54, 18.76, 18.98, 19.20, 19.40, 19.60, 19.80, 20.00, 20.20, 20.36, 20.52, 20.68, 20.84, 21.00, 21.14, 21.28, 21.42, 21.56, 21.70, 21.84, 21.98, 22.12, 22.26, 22.40, 22.52, 22.64, 22.76, 22.88, 23.00, 23.12, 23.24, 23.36, 23.48, 23.60, 23.72, 23.84, 23.96, 24.08, 24.20, 24.34, 24.48, 24.62, 24.76, 24.90, 25.04, 25.18, 25.32, 25.46, 25.60, 25.76, 25.92, 26.08, 26.24, 26.40, 26.52, 26.64, 26.76, 26.88, 27.00, 27.18, 27.36, 27.54, 27.72, 27.90, 28.08, 28.26, 28.44, 28.62, 28.80, 29.00, 29.20, 29.40, 29.60, 29.80, 30.08, 30.36, 30.64, 30.92, 31.20, 31.62, 32.04, 32.46, 32.88, 33.30, 34.18, 35.05, 35.93, 36.80
70-79, 13.60, 14.08, 14.55, 15.03, 15.50, 15.90, 16.30, 16.70, 17.10, 17.50, 17.80, 18.10, 18.40, 18.70, 19.00, 19.22, 19.44, 19.66, 19.88, 20.10, 20.28, 20.46, 20.64, 20.82, 21.00, 21.12, 21.24, 21.36, 21.48, 21.60, 21.74, 21.88, 22.02, 22.16, 22.30, 22.42, 22.54, 22.66, 22.78, 22.90, 23.06, 23.22, 23.38, 23.54, 23.70, 23.76, 23.82, 23.88, 23.94, 24.00, 24.14, 24.28, 24.42, 24.56, 24.70, 24.82, 24.94, 25.06, 25.18, 25.30, 25.40, 25.50, 25.60, 25.70, 25.80, 25.94, 26.08, 26.22, 26.36, 26.50, 26.62, 26.74, 26.86, 26.98, 27.10, 27.36, 27.62, 27.88, 28.14, 28.40, 28.60, 28.80, 29.00, 29.20, 29.40, 29.66, 29.92, 30.18, 30.44, 30.70, 31.14, 31.58, 32.02, 32.46, 32.90, 33.98, 35.05, 36.13, 37.20
###
A2, 99, 98, 97, 96, 95, 94, 93, 92, 91, 90, 89, 88, 87, 86, 85, 84, 83, 82, 81, 80, 79, 78, 77, 76, 75, 74, 73, 72, 71, 70, 69, 68, 67, 66, 65, 64, 63, 62, 61, 60, 59, 58, 57, 56, 55, 54, 53, 52, 51, 50, 49, 48, 47, 46, 45, 44, 43, 42, 41, 40, 39, 38, 37, 36, 35, 34, 33, 32, 31, 30, 29, 28, 27, 26, 25, 24, 23, 22, 21, 20, 19, 18, 17, 16, 15, 14, 13, 12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1
20-29, 11.40, 12.05, 12.70, 13.35, 14.00, 14.22, 14.44, 14.66, 14.88, 15.10, 15.30, 15.50, 15.70, 15.90, 16.10, 16.24, 16.38, 16.52, 16.66, 16.80, 16.96, 17.12, 17.28, 17.44, 17.60, 17.76, 17.92, 18.08, 18.24, 18.40, 18.52, 18.64, 18.76, 18.88, 19.00, 19.16, 19.32, 19.48, 19.64, 19.80, 19.96, 20.12, 20.28, 20.44, 20.60, 20.78, 20.96, 21.14, 21.32, 21.50, 21.64, 21.78, 21.92, 22.06, 22.20, 22.44, 22.68, 22.92, 23.16, 23.40, 23.56, 23.72, 23.88, 24.04, 24.20, 24.46, 24.72, 24.98, 25.24, 25.50, 25.74, 25.98, 26.22, 26.46, 26.70, 27.00, 27.30, 27.60, 27.90, 28.20, 28.66, 29.12, 29.58, 30.04, 30.50, 31.10, 31.70, 32.30, 32.90, 33.50, 34.12, 34.74, 35.36, 35.98, 36.60, 37.10, 37.60, 38.10, 38.60
