F1, 99, 98, 97, 96, 95, 94, 93, 92, 91, 90, 89, 88, 87, 86, 85, 84, 83, 82, 81, 80, 79, 78, 77, 76, 75, 74, 73, 72, 71, 70, 69, 68, 67, 66, 65, 64, 63, 62, 61, 60, 59, 58, 57, 56, 55, 54, 53, 52, 51, 50, 49, 48, 47, 46, 45, 44, 43, 42, 41, 40, 39, 38, 37, 36, 35, 34, 33, 32, 31, 30, 29, 28, 27, 26, 25, 24, 23, 22, 21, 20, 19, 18, 17, 16, 15, 14, 13, 12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1
20-29, 67.95, 67.54, 67.13, 66.71, 66.3, 65.4, 64.5, 63.6, 62.7, 61.8, 61.3, 60.8, 60.3, 59.8, 59.3, 58.86, 58.42, 57.98, 57.54, 57.1, 56.72, 56.34, 55.96, 55.58, 55.2, 54.9, 54.6, 54.3, 54, 53.7, 53.38, 53.06, 52.74, 52.42, 52.1, 51.72, 51.34, 50.96, 50.58, 50.2, 49.96, 49.72, 49.48, 49.24, 49, 48.8, 48.6, 48.4, 48.2, 48, 47.7, 47.4, 47.1, 46.8, 46.5, 46.18, 45.86, 45.54, 45.22, 44.9, 44.62, 44.34, 44.06, 43.78, 43.5, 43.18, 42.86, 42.54, 42.22, 41.9, 41.54, 41.18, 40.82, 40.46, 40.1, 39.7, 39.3, 38.9, 38.5, 38.1, 37.56, 37.02, 36.48, 35.94, 35.4, 34.74, 34.08, 33.42, 32.76, 32.1, 31.48, 30.86, 30.24, 29.62, 29, 28.586, 28.172, 27.758, 27.34
30-39, 61.2488, 60.8866, 60.524, 60.1622, 59.8, 59.14, 58.48, 57.82, 57.16, 56.5, 56.04, 55.58, 55.12, 54.66, 54.2, 52.68, 53.16, 52.64, 52.12, 51.6, 51.12, 50.64, 50.16, 49.68, 49.2, 48.96, 48.72, 48.48, 48.24, 48, 47.72, 47.44, 47.16, 46.88, 46.6, 46.32, 46.04, 45.76, 45.48, 45.2, 44.92, 44.64, 44.36, 44.08, 43.8, 43.52, 43.24, 42.96, 42.68, 42.4, 42.18, 41.96, 41.74, 41.52, 41.3, 40.96, 40.62, 40.28, 39.94, 39.6, 39.38, 39.16, 38.94, 38.72, 38.5, 38.28, 38.06, 37.84, 37.62, 37.4, 37.1, 36.8, 36.5, 36.2, 35.9, 35.54, 35.18, 34.82, 34.46, 34.1, 33.82, 33.54, 33.26, 32.98, 32.7, 32.2, 31.7, 31.2, 30.7, 30.2, 29.6, 29, 28.4, 27.8, 27.2, 26.837, 26.475, 26.113, 25.75
40-49, 56.996, 56.647, 56.298, 55.949, 55.6, 54.9, 54.2, 53.5, 52.8, 52.1, 51.54, 50.98, 50.42, 49.86, 49.3, 48.78, 48.26, 47.74, 47.22, 46.7, 46.36, 46.02, 45.68, 45.34, 45, 44.78, 44.56, 44.34, 44.12, 43.9, 43.54, 43.18, 42.82, 42.46, 42.1, 41.74, 41.38, 41.02, 40.66, 40.3, 40.02, 39.74, 39.46, 39.18, 38.9, 38.68, 38.46, 38.24, 38.02, 37.8, 37.58, 37.36, 37.14, 36.92, 36.7, 36.5, 36.3, 36.1, 35.9, 35.7, 35.48, 35.26, 35.04, 34.82, 34.6, 34.34, 34.08, 33.82, 33.56, 33.3, 33.02, 32.74, 32.46, 32.18, 31.9, 31.62, 31.34, 31.06, 30.78, 30.5, 30.2, 29.9, 29.6, 29.3, 29, 28.56, 28.12, 27.68, 27.24, 26.8, 26.28, 25.76, 25.24, 24.72, 24.2, 23.85111, 23.502, 23.1533, 22.8044
50-59, 52.02, 51.69, 51.36, 51.03, 50.7, 49.68, 48.66, 47.64, 46.62, 45.6, 45.12, 44.64, 44.16, 43.68, 43.2, 42.8, 42.4, 42, 41.6, 41.2, 40.9, 40.6, 40.3, 40, 39.7, 39.4, 39.1, 38.8, 38.5, 38.2, 37.82, 37.44, 37.06, 36.68, 36.3, 36.06, 35.82, 35.58, 35.34, 35.1, 34.84, 34.58, 34.32, 34.06, 33.8, 33.56, 33.32, 33.08, 32.84, 32.6, 32.4, 32.2, 32, 31.8, 31.6, 31.42, 31.24, 31.06, 30.88, 30.7, 30.46, 30.22, 29.98, 29.74, 29.5, 29.28, 29.06, 28.84, 28.62, 28.4, 28.14, 27.88, 27.62, 27.36, 27.1, 26.9, 26.7, 26.5, 26.3, 26.1, 25.76, 25.42, 25.08, 24.74, 24.4, 24.08, 23.76, 23.44, 23.12, 22.8, 22.42, 22.04, 21.66, 21.28, 20.9, 20.57, 20.24, 19.91, 19.58
60-69, 44.14, 43.85, 43.57, 43.28, 43, 42.46, 41.92, 41.38, 40.84, 40.3, 39.88, 39.46, 39.04, 38.62, 38.2, 37.78, 37.36, 36.94, 36.52, 36.1, 35.78, 35.46, 35.14, 34.82, 34.5, 34.18, 33.86, 33.54, 33.22, 32.9, 32.64, 32.38, 32.12, 31.86, 31.6, 31.38, 31.16, 30.94, 30.72, 30.5, 30.22, 29.94, 29.66, 29.28, 29.1, 28.92, 28.74, 28.56, 28.38, 28.2, 28, 27.8, 27.6, 27.4, 27.2, 27.08, 26.96, 26.84, 26.72, 26.6, 26.42, 26.24, 26.06, 25.88, 25.7, 25.48, 25.26, 25.04, 24.82, 24.6, 24.42, 24.24, 24.06, 23.88, 23.7, 23.44, 23.18, 22.92, 22.66, 22.4, 22.16, 21.92, 21.68, 21.44, 21.2, 20.92, 20.64, 20.36, 20.08, 19.8, 19.32, 18.84, 18.36, 17.88, 17.4, 17.12, 16.83, 16.55, 16.26
###
F2, 99, 98, 97, 96, 95, 94, 93, 92, 91, 90, 89, 88, 87, 86, 85, 84, 83, 82, 81, 80, 79, 78, 77, 76, 75, 74, 73, 72, 71, 70, 69, 68, 67, 66, 65, 64, 63, 62, 61, 60, 59, 58, 57, 56, 55, 54, 53, 52, 51, 50, 49, 48, 47, 46, 45, 44, 43, 42, 41, 40, 39, 38, 37, 36, 35, 34, 33, 32, 31, 30, 29, 28, 27, 26, 25, 24, 23, 22, 21, 20, 19, 18, 17, 16, 15, 14, 13, 12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1
20-29, 61.2, 59.95, 58.7, 57.45, 56.2, 55.76, 55.32, 54.88, 54.44, 54, 53.7, 53.4, 53.1, 52.8, 52.5, 52.22, 51.94, 51.66, 51.38, 51.1, 50.72, 50.34, 49.96, 49.58, 49.2, 49, 48.8, 48.6, 48.4, 48.2, 47.92, 47.64, 47.36, 47.08, 46.8, 46.58, 46.36, 46.14, 45.92, 45.7, 45.62, 45.54, 45.46, 45.38, 45.3, 45.02, 44.74, 44.46, 44.18, 43.9, 43.74, 43.58, 43.42, 43.26, 43.1, 42.92, 42.74, 42.56, 42.38, 42.2, 41.96, 41.72, 41.48, 41.24, 41, 40.86, 40.72, 40.58, 40.44, 40.3, 40.14, 39.98, 39.82, 39.66, 39.5, 39.22, 38.94, 38.66, 38.38, 38.1, 37.82, 37.54, 37.26, 36.98, 36.7, 36.4, 36.1, 35.8, 35.5, 35.2, 34.62, 34.04, 33.46, 32.88, 32.3, 30.875, 29.45, 28.025, 26.6
30-39, 58.3, 57.3, 56.3, 55.3, 54.3, 53.94, 53.58, 53.22, 52.86, 52.5, 52.14, 51.78, 51.42, 51.06, 50.7, 50.06, 49.42, 48.78, 48.14, 47.5, 47.42, 47.34, 47.26, 47.18, 47.1, 47.04, 46.98, 46.92, 46.86, 46.8, 46.5, 46.2, 45.9, 45.6, 45.3, 45.12, 44.94, 44.76, 44.58, 44.4, 44.3, 44.2, 44.1, 44, 43.9, 43.6, 43.3, 43, 42.7, 42.4, 42.2, 42, 41.8, 41.6, 41.4, 41.32, 41.24, 41.16, 41.08, 41, 40.7, 40.4, 40.1, 39.8, 39.5, 39.3, 39.1, 38.9, 38.7, 38.5, 38.32, 38.14, 37.96, 37.78, 37.6, 37.42, 37.24, 37.06, 36.88, 36.7, 36.4, 36.1, 35.8, 35.5, 35.2, 34.92, 34.64, 34.36, 34.08, 33.8, 33.26, 32.72, 32.18, 31.64, 31.1, 29.975, 28.85, 27.725, 26.6
